Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",150.800000,-47.200000,270.000000,top
"C2","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",150.000000,-121.200000,90.000000,top
"C3","10uF X5R 0805","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",160.300000,-48.800000,90.000000,top
"C4","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.900000,-53.600000,0.000000,top
"C5","10nF 50V X7R 0603","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.200000,-51.650000,0.000000,top
"C6","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.900000,-47.600000,0.000000,top
"C7","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.900000,-51.550000,90.000000,top
"C8","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.900000,-48.550000,180.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",178.000000,-53.600000,0.000000,top
"C10","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.000000,-49.400000,90.000000,top
"C11","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.900000,-61.550000,90.000000,top
"C12","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.900000,-58.550000,180.000000,top
"C13","10nF 50V X7R 0603","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.000000,-51.650000,0.000000,top
"C14","10uF X5R 0805","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",168.900000,-48.600000,90.000000,top
"C15","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.325000,-86.100000,0.000000,top
"C16","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",178.000000,-63.600000,0.000000,top
"C17","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.000000,-59.400000,90.000000,top
"C18","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.900000,-71.550000,90.000000,top
"C19","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.900000,-68.550000,180.000000,top
"C20","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",178.000000,-73.600000,0.000000,top
"C21","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.000000,-69.400000,90.000000,top
"C22","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.900000,-81.550000,90.000000,top
"C23","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.900000,-78.550000,180.000000,top
"C24","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",178.000000,-83.600000,0.000000,top
"C25","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.000000,-79.400000,90.000000,top
"C26","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.900000,-91.550000,90.000000,top
"C27","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.900000,-88.550000,180.000000,top
"C28","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",178.000000,-93.600000,0.000000,top
"C29","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.000000,-89.400000,90.000000,top
"C30","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.900000,-101.550000,90.000000,top
"C31","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.900000,-98.550000,180.000000,top
"C32","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",178.000000,-103.600000,0.000000,top
"C33","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.000000,-99.400000,90.000000,top
"C34","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.900000,-111.550000,90.000000,top
"C35","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.900000,-108.550000,180.000000,top
"C36","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",178.000000,-113.600000,0.000000,top
"C37","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.000000,-109.400000,90.000000,top
"C38","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.900000,-121.550000,90.000000,top
"C39","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.900000,-118.550000,180.000000,top
"C40","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",178.000000,-123.600000,0.000000,top
"C41","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.000000,-119.400000,90.000000,top
"C42","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",150.600000,-69.100000,270.000000,top
"C43","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",148.600000,-69.100000,270.000000,top
"C44","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",150.000000,-52.300000,180.000000,top
"C45","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",150.000000,-62.300000,180.000000,top
"C46","10uF X5R 0805","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",160.300000,-58.800000,90.000000,top
"C47","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.900000,-63.600000,0.000000,top
"C48","10nF 50V X7R 0603","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.200000,-61.650000,0.000000,top
"C49","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.900000,-57.600000,0.000000,top
"C50","10nF 50V X7R 0603","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.000000,-61.650000,0.000000,top
"C51","10uF X5R 0805","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",168.900000,-58.600000,90.000000,top
"C52","10uF X5R 0805","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",160.300000,-68.800000,90.000000,top
"C53","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.900000,-73.600000,0.000000,top
"C54","10nF 50V X7R 0603","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.200000,-71.650000,0.000000,top
"C55","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.900000,-67.600000,0.000000,top
"C56","10nF 50V X7R 0603","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.000000,-71.650000,0.000000,top
"C57","10uF X5R 0805","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",168.900000,-68.600000,90.000000,top
"C58","10uF X5R 0805","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",160.300000,-78.800000,90.000000,top
"C59","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.900000,-83.600000,0.000000,top
"C60","10nF 50V X7R 0603","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.200000,-81.650000,0.000000,top
"C61","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.900000,-77.600000,0.000000,top
"C62","10nF 50V X7R 0603","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.000000,-81.650000,0.000000,top
"C63","10uF X5R 0805","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",168.900000,-78.600000,90.000000,top
"C64","10uF X5R 0805","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",160.300000,-88.800000,90.000000,top
"C65","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.900000,-93.600000,0.000000,top
