Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",91.800000,-101.500000,180.000000,top
"C2","10uF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",114.500000,-90.500000,90.000000,top
"C3","10uF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",114.000000,-70.000000,270.000000,top
"C4","330uF 35V","C_Elec_10x10.2",97.200000,-116.000000,180.000000,top
"C7","100uF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",125.000000,-88.800000,0.000000,top
"D1","BAT60A","D_SOD-323",146.000000,-128.500000,180.000000,top
"D2","BAT60A","D_SOD-323",146.500000,-62.000000,0.000000,top
"D3","BAT60A","D_SOD-323",147.100000,-124.800000,90.000000,top
"D4","BAT60A","D_SOD-323",146.500000,-74.000000,0.000000,top
"D5","BAT60A","D_SOD-323",129.100000,-91.600000,0.000000,top
"F1","JK-NSMD050-13.2V","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.200000,-128.000000,270.000000,top
"FL1","ACM9070-701-2PL-TL01","ACM90707012PLTL01",119.500000,-99.000000,0.000000,top
"FL2","ACM9070-701-2PL-TL01","ACM90707012PLTL01",119.500000,-80.000000,0.000000,top
"FL4","Bnx029-01","BNX025H01B",139.000000,-98.000000,0.000000,top
"FL5","Bnx029-01","BNX025H01B",140.000000,-82.000000,0.000000,top
"L1","4.7uH","L_1008_2520Metric",93.700000,-97.000000,270.000000,top
"Q1","NUD3105LT1G","SOT-23",152.000000,-106.000000,0.000000,top
"Q2","NUD3105LT1G","SOT-23",153.000000,-84.000000,180.000000,top
"Q3","BSS84","SOT-23",134.000000,-90.900000,90.000000,top
"R1","15 ohm 2W / 33 ohm 1W","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",145.000000,-107.000000,180.000000,top
"R2","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.000000,-88.500000,270.000000,top
"R3","15 ohm 2W / 33 ohm 1W","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",145.500000,-68.000000,270.000000,top
"R4","750","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",153.200000,-61.725000,270.000000,top
"R5","750","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.600000,-132.000000,0.000000,top
"R6","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",126.000000,-93.500000,180.000000,top
"R7","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",124.800000,-91.500000,0.000000,top
"U2","AQY212GSZ","SO-4_4.4x4.3mm_P2.54mm",152.000000,-68.000000,270.000000,top
"U3","AQY212GSZ","SO-4_4.4x4.3mm_P2.54mm",151.200000,-128.900000,90.000000,top
