Ref,Val,Package,PosX,PosY,Rot,Side
"C7","100uF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",125.900000,-105.200000,270.000000,top
"D1","BAT60A","D_SOD-323",132.650000,-120.550000,270.000000,top
"D2","BAT60A","D_SOD-323",129.200000,-76.250000,0.000000,top
"D3","BAT60A","D_SOD-323",128.950000,-119.450000,180.000000,top
"D4","BAT60A","D_SOD-323",129.200000,-78.700000,0.000000,top
"D5","BAT60A","D_SOD-323",132.400000,-106.100000,270.000000,top
"J1","JST_SH_Conn_01x04_i2c","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",123.450000,-92.400000,90.000000,top
"J8","JST_SH_Conn_01x04_i2c","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",134.850000,-92.450000,90.000000,top
"J9","JST_SH_Conn_01x04_i2c","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",141.750000,-92.450000,270.000000,top
"Q1","NUD3105LT1G","SOT-23",142.200000,-116.550000,0.000000,top
"Q2","NUD3105LT1G","SOT-23",142.700000,-73.800000,180.000000,top
"Q3","BSS84","SOT-23",130.100000,-109.950000,0.000000,top
"R1","15 ohm 2W / 33 ohm 1W","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",124.000000,-122.400000,270.000000,top
"R2","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",130.400000,-106.000000,90.000000,top
"R3","15 ohm 2W / 33 ohm 1W","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",122.700000,-75.900000,270.000000,top
"R4","750","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.500000,-78.650000,180.000000,top
"R5","750","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",143.450000,-125.600000,90.000000,top
"R6","1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",125.900000,-108.750000,180.000000,top
"R7","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.600000,-106.000000,270.000000,top
"R8","750","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",123.850000,-98.900000,180.000000,top
"U1","AQY212GSZ","SO-4_4.4x4.3mm_P2.54mm",129.150000,-95.900000,90.000000,top
"U2","AQY212GSZ","SO-4_4.4x4.3mm_P2.54mm",135.900000,-79.000000,180.000000,top
"U3","AQY212GSZ","SO-4_4.4x4.3mm_P2.54mm",140.250000,-121.200000,180.000000,top
