"Designator","MPN","Quantity","Description"
"C1, C4, C5, ","CC0603KPX7R7BB104","3","100nF"
"C2, C3, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, ","GRM21BR60J107ME15L","16","100uF"
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, ","MMZ2012Y202BT000","8","2K@100MHz"
"IC1, ","ISO1541DR","1","ISO1541DR"
"J1, ","B2B-PH-K-S(LF)(SN)","1","Conn_01x02"
"J2, J13, ","JST_SH_BM04B-SRSS-TB","2","Conn_01x04_i2c"
"J3, ","PPPC082LJBN-RC","1","Conn_02x08_Odd_Even"
"J4, ","JST_PH_B4B-PH-K","1","Conn_01x04_i2c"
"J5, J6, J7, J8, J9, J10, J11, J12, ","KH-SMA-P-8496","8","Conn_Coaxial"
"J14, ","B4B-PH-K-S(LF)(SN)","1","B4B-PH-K"
"K1, K2, K3, K4, K5, K6, K7, K8, ","3570-1331-053","8","3570-1331-053"
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, ","NUD3105LT1G","8","NUD3105LT1G"
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, ","0603WAF1002T5E","10","10K"
"U1, ","MCP23008-E/SO","1","MCP23008-E_SO"
