Ref,Val,Package,PosX,PosY,Rot,Side
"D1","BAT60A","D_SOD-323",174.700000,-107.500000,180.000000,top
"J1","JST-PH2","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",167.500000,-110.350000,180.000000,top
"J2","JST-SH","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",124.000000,-121.000000,0.000000,top
"J4","STEMMA JST-PH connector","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",138.000000,-103.000000,0.000000,top
"J5","JST-SH","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",124.000000,-102.000000,0.000000,top
"R1","R_Small_US","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",153.000000,-107.000000,270.000000,top
"R2","R_Small_US","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",153.000000,-114.000000,270.000000,top
"R3","2K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",175.700000,-121.600000,90.000000,top
"R4","3.3K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",175.700000,-117.900000,90.000000,top
"R5","3.3K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",143.000000,-122.000000,180.000000,top
"U2","AQY212","SO-4_4.4x4.3mm_P2.54mm",136.000000,-121.000000,180.000000,top
