"Designator","MPN","LCSC","Quantity","Description"
"C1, ","CC0603KRX7R9BB104","C14663","1","100nF"
"C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, ","CL31A107MQHNNNE","C15008","16","100uF"
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, ","MMZ2012Y202BT000","C76811","8","Ferrite_Bead"
"J1, ","JST_SH_BM04B-SRSS-TB","","1","Conn_01x04"
"J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, ","","","16","Conn_Coaxial"
"R1, R2, R3, R4, R5, R6, R7, R8, ","TC0310B1002T5E","C190321","8","10K 0.1%"
"R9, R10, R11, R12, R13, R14, R15, R16, ","0603WAF3900T5E","C23151","8","390"
"RN1, RN2, RN3, ","4D03WGJ0103T5E","C29718","3","4 x 10K ohm"
"U1, ","TCA9534APWR","C206010","1","TCA9534APWR"
"U2, U3, U4, U5, U6, U7, U8, U9, ","AQY212GSZ","C129283","8","AQY212GSZ"
