"Comment","Designator","MPN","LCSC"
"4.7uF","C1, ","CL32B475KBUYNNE","C29823"
"10uF","C2, C3, C8, ","EMK325B7106KN-T","C13585"
"330uF 35V","C4, ","VE-331M1VTR-1010S","C134522"
"CP","C5, C6, ","DB-5R5D155T",""
"100uF","C7, ","CL32A107MQVNNNE","C49066"
"390pF","C9, C10, ","","C84719"
"BAT60A","D1, D2, D3, D4, D5, D6, D7, ","BAT60AE6327","C117485"
"JK-NSMD050-13.2V","F1, ","JK-NSMD050-13.2V","C369159"
"ACM9070-701-2PL-TL01","FL1, FL2, ","ACM9070-701-2PL-TL01","C14594"
"Bnx029-01","FL4, FL5, ","Bnx029-01L","C124739"
"Barrel_Jack_Switch","J1, ","PJ-066A",""
"Conn_01x02","J2, J3, J4, J5, J6, J7, ","B2B-PH-K-S(LF)(SN)",""
"SolderJumper_2_Open","JP1, JP2, JP3, JP4, ","-",""
"4.7uH","L1, ","SDET25201T-4R7MS","C520141"
"22uH","L2, ","","C207843"
"NUD3105LT1G","Q1, Q2, ","NUD3105LT1G","C14894"
"BSS84","Q3, ","","C8492"
"ZVN4525G","Q4, ","","C154905"
"ZXP2106G","Q5, ","","C460270"
"10K","R1, R3, R7, ","0603WAF1002T5E","C25804"
"1K","R2, R6, ","0603WAF1001T5E","C21190"
"750","R4, R5, ","0603WAF7500T5E","C23241"
"S20K30","RV1, ","S20K30",""
"PDQE10-Q24-D5-D","U1, ","PDQE10-Q24-D5-D",""
"AQY212GSZ","U2, U3, ","AQY212GSZ","C129283"
"CRE1S1205SC","U4, ","",""
