"Comment","Designator","MPN","LCSC"
"CP","C5, C6, ","DB-5R5D155T",""
"100uF","C7, ","CL32A107MQVNNNE","C49066"
"BAT60A","D1, D2, D3, D4, D5, ","BAT60AE6327","C117485"
"JST_SH_Conn_01x04_i2c","J1, J8, J9, ","",""
"Conn_01x02","J2, J3, J4, J5, J7, ","B2B-PH-K-S(LF)(SN)",""
"NUD3105LT1G","Q1, Q2, ","NUD3105LT1G","C14894"
"BSS84","Q3, ","","C8492"
"15 ohm 2W / 33 ohm 1W","R1, R3, ","CRM2512-FX-15R0ELF","C53728"
"1K","R2, R6, ","0603WAF1001T5E","C21190"
"750","R4, R5, R8, ","0603WAF7500T5E","C23241"
"10K","R7, ","0603WAF1002T5E","C25804"
"AQY212GSZ","U1, U2, U3, ","AQY212GSZ","C129283"
